epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.51612,1.52375,0.79,1,1.10739,0.00026664,0.00026664,0.00026664
2,12.8266,1.02411,0.95,1,0.48187,0.000490495,0.000490495,0.000490495
3,18.9063,0.5359,0.99,1,0.12522,0.000659356,0.000659356,0.000659356
4,24.9477,0.24412,1,1,0.03801,0.000773223,0.000773223,0.000773223
5,31.404,0.17354,1,1,0.01608,0.000671044,0.000671044,0.000671044
6,37.6269,0.10433,0.99,1,0.0197,0.000561055,0.000561055,0.000561055
7,43.7835,0.0768,0.99,1,0.01282,0.000451066,0.000451066,0.000451066
8,49.8394,0.05862,1,1,0.00868,0.000341077,0.000341077,0.000341077
9,56.187,0.08083,1,1,0.00468,0.000231088,0.000231088,0.000231088
10,62.7738,0.07893,1,1,0.00367,0.000121099,0.000121099,0.000121099
